joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.790922,0.032160,0.169556	1.771555,0.033351,0.062739	0.000000,0.000000,0.000000	1.757629,0.032568,-0.007733	1.716458,0.030252,-0.216086	1.652564,0.027074,-0.370542	1.761249,-0.096597,-0.010780	1.691178,-0.138958,-0.234784	1.413483,-0.020836,-0.316469	1.759294,0.164225,-0.008812	1.695747,0.214818,-0.233047	1.402156,0.172159,-0.329828	12
1.792895,0.032168,0.169352	1.771555,0.033370,0.062739	0.000000,0.000000,0.000000	1.757729,0.032581,-0.007751	1.716861,0.030251,-0.216112	1.653038,0.027034,-0.370512	1.761261,-0.096485,-0.011022	1.690581,-0.138571,-0.234880	1.412231,-0.022420,-0.316149	1.759320,0.164242,-0.008896	1.695834,0.214334,-0.233256	1.401440,0.166040,-0.323274	12
1.794995,0.032176,0.169141	1.771555,0.033388,0.062739	0.000000,0.000000,0.000000	1.757810,0.032594,-0.007765	1.717177,0.030250,-0.216191	1.653390,0.026992,-0.370463	1.761273,-0.096363,-0.011315	1.689765,-0.138024,-0.234981	1.411548,-0.022592,-0.316055	1.759347,0.164272,-0.008990	1.695971,0.213652,-0.233533	1.400489,0.139285,-0.296776	12
1.797267,0.032184,0.168909	1.771555,0.033405,0.062739	0.000000,0.000000,0.000000	1.757868,0.032608,-0.007774	1.717388,0.030250,-0.216328	1.653606,0.026952,-0.370402	1.761277,-0.096341,-0.011435	1.689381,-0.137483,-0.235066	1.411187,-0.023567,-0.315572	1.759373,0.164307,-0.009079	1.696102,0.212825,-0.233833	1.401871,0.121619,-0.276515	12
1.798847,0.032192,0.168836	1.771555,0.033424,0.062739	0.000000,0.000000,0.000000	1.757913,0.032622,-0.007781	1.717534,0.030249,-0.216520	1.653749,0.026912,-0.370345	1.761278,-0.096370,-0.011459	1.689264,-0.136963,-0.235145	1.410484,-0.024700,-0.315161	1.759401,0.164341,-0.009165	1.696115,0.212019,-0.234088	1.405790,0.111256,-0.282466	12
1.799745,0.032197,0.168900	1.771555,0.033443,0.062738	0.000000,0.000000,0.000000	1.757947,0.032636,-0.007786	1.717624,0.030247,-0.216763	1.653832,0.026870,-0.370295	1.761279,-0.096400,-0.011472	1.689178,-0.136491,-0.235213	1.409985,-0.024874,-0.315041	1.759429,0.164364,-0.009265	1.696074,0.211200,-0.234338	1.402334,0.139953,-0.308354	12
1.800173,0.032203,0.169036	1.771555,0.033461,0.062735	0.000000,0.000000,0.000000	1.757977,0.032648,-0.007792	1.717689,0.030234,-0.217051	1.653890,0.026816,-0.370258	1.761280,-0.096428,-0.011484	1.689108,-0.136072,-0.235273	1.410117,-0.024538,-0.315383	1.759455,0.164377,-0.009375	1.696024,0.210287,-0.234609	1.402556,0.160612,-0.324919	12
1.800342,0.032207,0.169190	1.771555,0.033479,0.062731	0.000000,0.000000,0.000000	1.758005,0.032657,-0.007799	1.717742,0.030215,-0.217376	1.653938,0.026758,-0.370233	1.761281,-0.096456,-0.011491	1.689042,-0.135638,-0.235330	1.409740,-0.024970,-0.315301	1.759480,0.164388,-0.009482	1.695970,0.209376,-0.234871	1.401829,0.164315,-0.325050	12
1.800393,0.032212,0.169330	1.771555,0.033496,0.062727	0.000000,0.000000,0.000000	1.758031,0.032665,-0.007805	1.717779,0.030191,-0.217730	1.653973,0.026695,-0.370218	1.761282,-0.096481,-0.011499	1.688961,-0.134930,-0.235429	1.404721,-0.027123,-0.314405	1.759506,0.164394,-0.009588	1.695914,0.208263,-0.235165	1.400035,0.149542,-0.322670	12
1.800400,0.032217,0.169443	1.771555,0.033516,0.062722	0.000000,0.000000,0.000000	1.758050,0.032674,-0.007810	1.717789,0.030166,-0.218077	1.653996,0.026632,-0.370212	1.761284,-0.096500,-0.011507	1.688904,-0.134125,-0.235548	1.397442,-0.043370,-0.302897	1.759516,0.164397,-0.009699	1.695866,0.206964,-0.235498	1.401760,0.115361,-0.289378	12
